CMDLINE C:\Users\alter\AppData\Local\Programs\Python\Python311\python.exe prueba.py
MEM 1.585938 1707175137.4617
MEM 22.476562 1707175137.5650
MEM 35.390625 1707175137.6664
MEM 45.609375 1707175137.7667
MEM 65.101562 1707175137.8671
MEM 58.207031 1707175137.9676
MEM 63.718750 1707175138.0682
MEM 66.941406 1707175138.1687
MEM 66.941406 1707175138.2691
MEM 68.589844 1707175138.3696
MEM 81.605469 1707175138.4776
MEM 97.546875 1707175138.5866
MEM 106.808594 1707175138.6869
MEM 116.187500 1707175138.7873
MEM 116.187500 1707175138.8887
MEM 116.187500 1707175138.9897
MEM 130.636719 1707175139.0901
MEM 142.769531 1707175139.1906
MEM 154.058594 1707175139.2908
MEM 157.566406 1707175139.3915
MEM 100.488281 1707175139.4950
